Formula,Space Group Number,Formation Energy,Volume,Density,Total Magnetization
Ni9O10,2,-1.108309420526316,181.79424681084487,6.286449985817969,16.0000992
Ni9S10,2,-0.54823004605263,260.11109935431296,5.419284329152718,0.0270951
NiF3,2,-1.842860091250001,122.70222295186991,3.131246544356238,4.0005836
P,2,0.156394653273809,689.6326217839045,1.7899318639837911,0.0
P,2,0.002171018690476,1005.506016560507,2.148363034856064,0.0
P2S5,2,-0.215660227502126,768.3664039148517,1.921438561880109,0.0
P2S7,2,-0.172447247293318,465.996426684307,2.041142603855335,0.0
P3Ru,2,-0.591826474732142,244.2156441593808,5.276158455643308,0.0
P4Os,2,-0.461389905047618,234.23808984740512,6.680598971005209,0.0
P4Ru,2,-0.514703536714284,233.4672928999384,4.800200227408077,0.0
PBr,2,-0.271950104821427,159.9039020949021,2.302843808138023,0.0005531
PI2,2,-0.313406983214285,242.2460123090321,3.904236009133053,0.0
PbO2,2,-0.569493033333332,312.1819700732706,7.63398895824667,12.0000849
PdCl2,2,-0.30391713,613.6929594103608,2.87886715343934,0.0145905
PdPb,2,-0.267064972500001,671.0962341909492,12.416180822589164,0.0
Pr11O20,2,-3.259380655107526,513.4639750657853,6.047477445971081,6.9920189
Pr2Sn3,2,-0.700718769666663,581.6275380024427,7.285302182507101,1e-07
Pr6O11,2,-3.226402307499999,1117.30190473583,6.072270546112011,16.0035878
Pr7O12,2,-2.584709512192982,400.60332273405385,4.884358259453311,3.0116403
Pr9O16,2,-3.308003488999999,416.4606633584705,6.077226977296171,4.9993725
PtCl2,2,-0.181582962777772,161.28248967018126,5.477182144548643,0.0003634
Pu,2,0.089198675000005,71.56280917449243,22.647044571012607,0.0014306
Rb,2,0.016102911249999,761.400182184665,1.491175065696892,0.000330799999999
RbP15,2,-0.101024876696427,798.9282985612765,2.286612578600145,0.0
Re2P5,2,-0.432155798554422,438.8836763124049,7.980007026083848,0.0
Re3Br7,2,-0.6507986572500001,1559.0756066869023,4.762817097526972,0.000103799999999
ReF7,2,-2.104480786562499,214.34596578387672,4.945622662431141,0.0
ReS2,2,-0.902182740833333,467.5299135649283,7.113031380529443,0.0
ReS2,2,0.470512642499999,493.8911464407275,6.7333763127553,0.0015712
ReSe2,2,-0.463165817708329,265.0520179422062,8.62376120443585,0.0
ReTe2,2,-0.376890872777778,332.97176170026506,8.80523398173945,0.0002477
Rh9Se20,2,-0.465798788491375,2260.394065875328,7.361956542078861,0.038412
S,2,0.018545667901786,798.5715364141056,1.866915008707064,0.0
SF6,2,-1.851480067068452,260.1065006669915,2.797285675463524,0.0
SN,2,0.5322205159375011,76.45084327575583,2.00138688957892,7.390000000000003e-05
Sb,2,0.333726518571426,477.0243512659981,5.933913660752748,0.0025543
Sb,2,0.333293312142858,482.81960041414527,5.862689319284094,0.0009572
Sb,2,0.234567614999999,483.7173709797317,5.851808275472559,0.00063
Sb,2,0.267894794285715,463.8749450443309,6.102121584123306,0.0011332
Sb2F13,2,-2.125468347666666,222.97119990238008,3.652907430067507,0.9999912
Sb2F13,2,-0.7768991703333331,250.65778563414852,3.249422916403155,1.763277099999999
Sb2F13,2,1.042582772333333,249.99564055284495,3.258029424086303,3.0230287
SbF5,2,-1.2544496558333331,207.25491054500867,3.473260917059379,0.0039065
